model,accuracy,avg_edit_distance,total_params,avg_inference_ms
rnn,0.0011106175033318525,4.696579298089738,1898307,1.2510241216577354
lstm,0.3918258551754776,1.0646379386939138,7415619,1.2861591929703065
gru,0.37027987561083964,1.1257219013771658,5576515,1.2603695791914749
rnn_attention,0.36472678809418035,1.0964015992892049,2685763,2.11858246285139
lstm_attention,0.39204797867614394,1.0530875166592626,8989507,2.1801055245588006
gru_attention,0.37450022212350065,1.1026210573078632,6888259,2.135341403644279
bilstm_attention,0.42114615726343846,0.9398045313194135,37275203,2.52500336628816
transformer,0.4306974677920924,1.0610839626832518,5572675,15.297343020225195
